id,area,Organic_A,Organic_B,Organic_C,Organic_D,Metal_A,Metal_B,Metal_C,Metal_D,Metal_E,Metal_F,Metal_G,Metal_H,Metal_I,Metal_J
26_01,26,3.138,0.331,0,8.15,10338.82,10.32,606.55,273.34,276.84,1.36,200.5,0,0.12,0.75
26_02,26,10.124,0.352,0,9.778,2395.74,7.96,2050.14,329.28,288.95,1.82,271.61,0,0.04,1.05
26_03,26,10.046,0.774,0,17.307,9615.55,5.8,1774.1,383.4,264.84,1.57,287.16,0,0.01,0.67
26_04,26,0.728,0.346,0,2.893,324.62,4.68,2253.05,431.59,289.54,1.15,222.76,0,0.11,0.51
26_05,26,3.674,0.429,0,10.405,5742.36,8.7,334.01,387.31,330.56,1.67,267.61,0,0.13,0.5
26_06,26,6.992,0.645,0,18.458,3701.57,1.69,1039.55,471.28,320.59,1.14,276.74,0,0,0.58
26_07,26,8.837,0.718,0,26.662,4459.6,6.36,1577.64,348.9,390.11,1.71,268.82,0,0,0.79
26_08,26,1.822,0.529,0,7.754,6367.41,7.09,1352.71,409.93,351.64,1.41,235.24,0,0.11,0.73
26_09,26,8.695,0.481,0,4.947,4299.2,6.67,387,487.39,325.77,1.05,262.14,0,0.12,0.73
26_10,26,5.983,1.358,0,21.141,6864.08,6.72,892.78,424.35,294.28,1.02,266.84,0,0.05,0.98
26_11,26,5.527,0.465,0,44.563,1052.65,0.85,681.73,533.76,297.11,1.75,272.52,0,0.04,0.82
26_12,26,1.013,0.606,0,21.615,4535.11,6.13,741.42,351.32,258.88,1.48,289.87,0,0.02,0.65
26_13,26,1.811,0.399,0,16.977,11520.38,0.76,1505.28,460.5,369.54,1.33,273.16,0,0,0.69
26_14,26,397.894,1.403,0.029,17.288,10472.65,3.26,1686.1,472.36,255,1.98,323.5,0,0,0.77
26_15,26,55.779,1.385,0,40.28,4851.97,3.59,706.75,507.44,345.72,1.83,234.17,0,0.05,0.75
28_01,28,110.63,0.679,0,26.52,10167.97,6.6,684.69,438.58,327.9,1.07,210.26,0,0.08,0.58
28_02,28,42.562,1.281,0,28.151,9769.41,4.1,797.3,540.79,296.37,1.36,239.87,0,0.05,0.8
28_03,28,13.449,0.804,0,21.594,3641.35,10.11,1279.65,261.04,260.58,1.94,249.82,0,0.05,0.84
28_04,28,5.694,0.658,0,33.887,644.69,5.72,959.46,531.19,382.38,1.73,220.43,0,0.03,0.58
28_05,28,4.452,0.586,0,30.35,5885.3,9.23,2070.48,317.36,378.54,1.12,306.23,0,0,0.59
28_06,28,0.424,0.628,0.392,22.886,8579.58,1.15,1578.62,329.35,313.65,0.97,233.65,0,0.02,0.67
28_07,28,153.663,1.286,0.045,31.581,1902.59,5.76,1177.62,337.03,338.85,1.42,243.26,0,0.11,0.74
28_08,28,0.365,0.364,0,4.001,3583.39,8.23,664.52,378.84,304.61,1.27,204.04,0,0.03,0.79
28_09,28,0.49,0.398,0,10.896,4312.49,7.11,1172.72,400.34,360.94,1.27,214.45,0,0.01,0.71
28_10,28,2.977,0.523,0,8.307,1881.71,9.86,357.03,465.17,279.86,1.62,261.68,0,0.1,0.52
28_11,28,1.17,0.499,0,3.454,11121,8.63,1278.19,488.89,326.37,1.58,223.35,0,0.13,0.53
28_12,28,8.709,0.955,0,27.064,10272.26,7.16,113.68,367.02,242.36,1.63,235.29,0,0.03,0.73
28_13,28,12.217,0.834,0,12.031,4229.1,7.81,975.05,421.24,290.17,1.25,211.46,0,0.09,0.75
28_14,28,0,0.508,0,4.734,8130.05,7.07,1841.48,306.11,262.14,1.61,301.62,0,0.01,0.88
28_15,28,13.229,1.216,0,35.476,8516.49,6.08,47.92,335.7,262.11,1.88,209.09,0,0,0.63
60_01,60,9.407,0.566,0,15.125,8880.91,9.66,565.25,501.08,383.19,0,351.34,0,0.05,0.51
60_02,60,3.241,0.568,0,12.262,2324.78,8,2033.92,744.75,340.67,0,341.65,0,0,0.7
60_03,60,14.885,0.729,0,20.236,9293.5,6.39,1848.94,477.12,428.62,0,269.56,0,0,1.24
60_04,60,6.529,0.412,0,10.245,495.89,4.3,2142.65,490.55,370.53,0,366.2,0,0,0.75
60_05,60,8.586,0.292,0,19.966,5463.45,9.19,348.95,578.22,363.28,0,307.4,0,0.07,1.24
60_06,60,5.724,0.125,0,9.812,3440.46,1.85,1008.17,519.64,409.18,0,283.1,0,0,1
60_07,60,4.448,0.174,0,11.991,4058.38,5.53,1504.63,483.26,514.32,0,293.16,0,0,0.88
60_08,60,6.002,0.468,0,25.315,5707.18,7.01,1317.66,487.09,442.33,0,380.84,0,0.06,0.8
60_09,60,2.193,0.235,0,24.17,4050.92,7.12,404.03,636.19,492.29,0,274.03,0,0,0.76
60_10,60,4.987,0.278,0,25.866,6720.91,7.1,934.09,520.7,449.16,0,288.64,0,0.06,0.96
60_11,60,4.9,0.699,0,49.365,1267.86,0.54,757.08,633.92,425.44,0,286.58,0,0.04,0.85
60_12,60,68.392,0.977,0,75.173,4267.16,6.41,747.8,734.2,412.81,0,278.11,0,0,0.79
60_13,60,1.155,0.985,0,57.355,10633.44,0.89,1488.74,452.32,429.52,0,288.22,0,0.01,1.05
60_14,60,4.937,0.558,0,39.214,10015.16,3.2,1733.38,653.5,466.56,0,344.19,0,0,0.68
60_15,60,7.522,0.595,0,44.955,4841.67,3.24,747.23,716.39,426.51,0.06,270.09,0,0,0.68
65_01,65,1.401,0.625,0,23.701,8934.02,6.6,656.38,458.7,397.24,0,310.69,0,0,0.3
65_02,65,253.918,1.047,0,73.638,9192.19,3.99,807.66,591.78,402.74,0,291.54,0,0,0.92
65_03,65,1.44,0.844,0,45.968,3692.3,11.18,1389.56,539.88,391.49,0,302.31,0,0,1.32
65_04,65,1.035,0.281,0,24.582,744.13,5.54,943.22,640.27,359.45,0,292.43,0,0,1.31
65_05,65,2.253,0.417,0,65.993,5499.57,9.31,2068.72,536.39,402.11,0,270.86,0,0,0.7
65_06,65,1.971,0.54,0,12.373,7737.52,0.94,1529.16,615.49,427.14,0,276.74,0,0,0.98
65_07,65,0.262,0.261,0,10.817,4858.99,14.41,3332.02,837.48,663.26,0.14,338.41,0,0,0.91
65_08,65,0.833,0.556,0,40.464,3405.6,7.95,673.02,705.77,355.51,0,321.29,0,0,1.12
65_09,65,4.773,0.8,0,11.237,3987.83,7.21,1138.51,587.55,505.11,0,248.72,0,0.04,0.73
65_10,65,0.163,0.782,0,19.632,1746.93,10.12,364.05,560.5,483.62,0,313.51,0,0,0.57
65_11,65,1.231,1.061,0,45.899,10709.35,8.74,1330.82,502.67,310.18,0,300.9,0,0,0.66
65_12,65,8.535,0.53,0,9.652,8991.67,6.39,114.38,698.34,343.17,0.17,342.36,0,0.07,0.96
65_13,65,0.926,0.48,0,14.184,3844.21,7.6,953.45,582.23,325.08,0,288.24,0,0,0.73
65_14,65,2.515,0.923,0,10.433,7925.62,7.37,1949.98,431.82,486.03,0,302.4,0,0.08,1.24
65_15,65,2.188,0.846,0,10.406,7657.25,5.64,56.2,565.34,397.35,0,238.88,0,0,1.32
47_01,47,21.649,0.749,0,13.254,2100.12,4.28,1883.1,940.63,425.21,0,207.63,0,0,0.27
47_02,47,86.712,0.645,0.079,10.146,3175.38,0.14,482.98,503.56,273.3,0,146.14,0,0,0.54
47_03,47,199.822,1.997,0.105,14.762,1899.22,1.81,1033.55,283.53,220.46,0,87.15,0,0,0
47_04,47,1.271,1.053,0.043,33.541,8161.11,9.2,1732.81,364.31,220.81,0,175.76,0,0,0.03
47_05,47,48.657,1.247,0.053,20.793,8305.5,4.25,997.39,513.53,342.88,0,166.04,0,0,1.38
47_06,47,147.959,1.917,0.091,12.185,6024.81,3.19,350.01,589.49,270.37,0,151.09,0,0,0
47_07,47,5.142,0.6,0,25.639,5273.91,6.43,1491.7,291.58,138.03,0,88.4,0,0,0
47_08,47,0,0.914,0,16.939,4763.52,1.62,1529.15,499.66,246.78,0,171.56,0,0,0
47_09,47,30.876,1.168,0.074,25.84,4845.5,8.24,755.2,711.55,326.73,0,123.22,0,0,0.09
47_10,47,120.12,2.537,0.122,28.932,1957.68,0.41,1362.94,365,216.85,0,110.75,0,0,0
47_11,47,46.201,1.248,0.056,15.341,9498.31,7.2,1116.58,432.02,266.58,0,114.58,0,0,0
47_12,47,63.167,0.958,0.077,21.244,8144.1,6.67,1481.88,723.15,242.75,0,147.88,0,0,0.49
47_13,47,230.551,0.716,0.127,6.67,2296.71,4.89,1535.01,616.76,271.73,0,124.85,0,0,0.22
47_14,47,279.998,1.751,0.043,20.351,9342.7,5.32,656.87,820.93,228.21,0,121.96,0,0,0.03
47_15,47,0.031,0.493,0.091,11.865,8949.88,4.18,1502.39,315.62,119.83,0,126.3,0,0,0
49_01,49,262.397,0.783,0.118,32.414,2016.12,6.13,1886.68,229.98,164.14,0,139.38,0,0,0
49_02,49,333.896,2.575,0.03,15.311,7899.04,9.86,794.64,577.01,289.87,0,127.34,0,0,0.07
49_03,49,38.1,1.71,0.053,13.685,5451.71,7.2,873.19,645.55,223.7,0,164.64,0,0,0.31
49_04,49,340.873,0.756,0.126,8.05,4859.17,4.36,1234.35,454.96,212.83,0,130.76,0,0,0.13
49_05,49,1.622,1.943,0.062,28.756,5277.16,1.69,1746.58,479.41,207.87,0,74.03,0,0,0
49_06,49,0.067,0.345,0.025,5.708,1954.04,4.01,515.29,344.62,292.68,0,105.77,0,0,0.55
49_07,49,0.041,0.652,0.113,9.37,4799.89,9.38,237.38,577.5,243,0,159.9,0,0,0.08
49_08,49,83.05,1.457,0.063,8.141,5686.81,1.74,1457.09,523.98,202.4,0,72.65,0,0,0
49_09,49,0.164,0.453,0.033,10.589,2831.25,0,1203.61,587.77,245.19,0,109.18,0,0,0
49_10,49,1.047,0.669,0.056,4.591,4395.19,9.85,1476.62,376.9,267.91,0,155.38,0,0,0.36
49_11,49,15.903,0.556,0.08,9.76,4026.76,5.4,485.08,527.07,296.57,0,114.23,0,0,0.04
49_12,49,0.456,0.644,0.063,12.23,5874.45,6.58,1310.06,560.08,166.65,0,158.39,0,0,0
49_13,49,0.12,1.131,0.134,11.056,7352.88,1.87,1738.67,624.3,200.13,0,120.04,0,0,0.06
49_14,49,5.041,0.943,0,23.808,1526.95,8.14,195.47,330.78,149.07,0,89.88,0,0,0.02
49_15,49,2.183,1.393,0,19.595,2163.09,5.81,1613.62,694.02,203.45,0,152.75,0,0,0.11